PROLIFIC_PID,GROUP
202dd81b765f83220bd095472972e8bf64a63774d23227c8ca57f62be6c91ec0,0
ea56151cdc409bf6f762b07e9f6b7e48fc65e42461fde1ecaac6d6a04cf2991f,0
2cefd31ca4ac57d0b74035c6cbc9c84703c7f2f48e5529d7a427b1c275d853f7,0
70abd78c761c31e4859ea210a24c0fb24c1cf996ae19fe768623e65e7feb7061,0
fb57994716622ede7b347d3497eea1262dd192fd1a9d36eb8dad343065c61d97,0
090a6e70396191c466aada4fcc505b0703f1dd20eab3a92c258fabf1e246b7bb,0
e7d716821083c4a5b589333db16ab5c089adfff6ade47e0b5639d41459fa056c,1
dc07bbf48bfd9e13922ce48926af0bae6e92c2531b5314d525d47191497e466e,1
f0b637f4c4f9dcfa162429273dd57b27182ae747ca17e0451c8783caf4db1fff,0
c281cc95f3aecf52b7e6e70fa40dc6934d7ff536dbfb8da57e424ca094bc76c5,1
8a48e77b991639df127a081b09f19fb00482c6e66a41b605f5774fb4b45186ff,0
6018d412a068adae830ebcc622dbc90a31a465c9ab23de0b4b9754631c2a0674,0
46e49d347d68e15fe3245c3e809620f0af791d4056e93bc0d817618d39551006,0
c089b8327c646b64b4da1f3c912db9db157d53413fd2a13d138f25f83c956e30,0
3163550b5d889b401b0e77504515ada94d0c9903649fa3bf84ea6d0c904e9674,0
b9ac19c10f0e2d4d5bf4f4b7ac0c2bba17f216a8b5d0ad4b8bd1556f9ac690af,1
14d84ac632a761d7c695fdcbb09c87bceefd138409eb697bc7401103ac3e3567,0
0b0641dcfcf0efcac2bd6dca1ec1b6c4de3d42c0c4cf45b7d351ccf06cd56193,1
ec8b43a0706a39e11c2dcee4657ff93f58dcb90f35fa43aea36e268b7dc257d7,0
61b55de08eb071567bc65f4dc24feeb49416d299b7af6e77a975be054fa89612,1
55994a723434cbfb0845d55bfe4c5dde74cd567702691226e6fb10019e5a1f60,0
4f4bfbde20c771f7fee05a15967d1e5df1c062522e3e77303619810a7af74b8c,1
ed95d65329a23d361767b1b17c01f687a207a252cf9290af6dfac7591291f7b4,1
f4e57a399e9ab8d25205c00ff1454c265d5d4cd5f43629856bb059834d6a78da,0
6a9dd3235eb51cce14e71c429c2c25b4d9f47a0e9f402321ad5e0dc53b1bf2b5,0
bc63bc6bd0a0f9d1f800b03bb907c991203f4e604d1622776a4f0a69ec234e7a,1
ec71b5f1f4d5fb33861b78659a1023d1bb843500f3edcaf53b2ae66eaa95b3f7,0
d47faaf4a02beec5f61bbecbddced2d81364e0b891466a1c68865244ae688575,0
fd04f9d3c1603dbcd92a243feade806a7a07ee41aebaa87091beeb9a150acbb4,1
a7e823e825c42ae68e8a1399680a04ddad75d9821cfc73a0e541f2419c0bb8f2,1
5f1ef27b486bee6f0830e5b8af3990c148e42e5f063be0ff21be5e0ee87f5cd9,0
687799edcedef8e38509e23062589afa1970a123dd88941377c6b71ef16200a7,0
fdb5784192ad35049dc9bfacc19b6a7b9333d974f15b51caa1c695ae51327cc1,0
7f29fcbe9c459544c29b242b68c22220f9730a3ac95b19b71004da3ae18d0969,1
7fade47a959537a87d7c09836424c612ec3186c18ca1e7f04dad0eea49582f15,1
