participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
597bed2e77bf66a7f7483394b869d328ad0bfa0bdb2a293a8d3f4531d5b44b65,Control,282,282,0,0,0,0.0,385764.6830000001,385764.6830000001,0.0,0.0,0.0,0.0
450300f421ef2f85e04c69e3ec778232d57a3fa83b498a0a421ddc1c95c0f867,Control,980,980,0,40,40,0.04081632653061224,173848.147,173848.147,0.0,10989.043,10989.043,0.06321058457988626
6e30613be2a9ed6cf3db91228ef4c81fd6cc3572b0ca0da0a4803e8c899ef81d,Treatment,119,119,0,0,0,0.0,14908.687999999998,14908.687999999998,0.0,0.0,0.0,0.0
4a4c96f16ac10c3d8ae83712e5812da3bdd13079bc365f40e20a6590c3335b0b,Treatment,1705,1705,0,14,14,0.008211143695014663,231566.518,231566.518,0.0,201.443,201.443,0.0008699141902716696
a65427abc7123da6d4d59bee521bad0a13f0438b313cb9009d0cda00afaa74e9,Treatment,769,769,0,4,4,0.005201560468140442,355142.826,355142.826,0.0,1850.592,1850.592,0.00521083875139294
f2c319208cf20bfb085d2416abfc88a7db85d2022e3ccd5367384405a4eb9d20,Treatment,1106,1106,0,6,6,0.0054249547920434,68528.967,68528.967,0.0,74.836,74.836,0.0010920345552560275
41ca0c776def4fcb254178ce9770bcc341c18b863dfcaab4817dcc88edc2d101,Treatment,56,56,0,0,0,0.0,12502.762,12502.762,0.0,0.0,0.0,0.0
fc2a6f2f15d6650208443b0c2c6b31a47a0e241a47e584eccd3113cc8b817a25,Treatment,1910,1910,0,4,4,0.0020942408376963353,202380.857,202380.857,0.0,2460.425,2460.425,0.012157399847358094
84c81c5df35f9118fa9148f156f9bcb342af749979735d4255a370c3934de762,Control,254,254,0,0,0,0.0,95002.399,95002.399,0.0,0.0,0.0,0.0
28504f150e535c2506445aac6308b84f75ca3e4b08515be4eb76a289f2d40797,Control,149,149,0,4,4,0.026845637583892617,85445.96900000001,85445.96900000001,0.0,354.00800000000004,354.00800000000004,0.004143062617734489
3987c615857edd5c0dd091db195e5d66cf1abd409d0527c44157961dc2ea0c70,Treatment,882,882,0,0,0,0.0,195937.614,195937.614,0.0,0.0,0.0,0.0
4c702f1bd58b7e542476873c4b41f6170fdb954822b14b84236e7194735b41ee,Control,11,11,0,0,0,0.0,20597.999,20597.999,0.0,0.0,0.0,0.0
a19df68a39faf415b5141858c1738a4630420122f2618188d77e70f0097ef790,Treatment,1003,1003,0,7,7,0.006979062811565304,42464.517,42464.517,0.0,149.603,149.603,0.0035230119301721957
6f5b3fbabd5bbf6329f60c137d1d5972fd805bbd4f6ac96917738bd9ae1033e0,Treatment,214,214,0,0,0,0.0,291414.50599999994,291414.50599999994,0.0,0.0,0.0,0.0
d47faaf4a02beec5f61bbecbddced2d81364e0b891466a1c68865244ae688575,Control,494,494,0,3,3,0.006072874493927126,136235.413,136235.413,0.0,142.0,142.0,0.0010423134255114711
d95358351041d336fbb5f01e892385ff3b04cff76be0a56381c17d83d7e29893,Control,136,136,0,0,0,0.0,26439.08,26439.08,0.0,0.0,0.0,0.0
54411d273ece6dfeff136dae3721309508be4f3e7c7dec3a94823d0b7ece1fe0,Treatment,1682,1682,0,26,26,0.015457788347205707,214579.425,214579.425,0.0,1409.381,1409.381,0.0065681087550682
79be1f048b50589b229d1fb83ffbb04dacd18b04b4bc1ce56be452a63e2b575b,Treatment,275,275,0,4,4,0.014545454545454545,127597.85899999998,127597.85899999998,0.0,1015.4739999999999,1015.4739999999999,0.007958393721951087
ddfc74ccaccd8331aa629a35fa3b5f52eebf6d67faa625e2d5c3348425341c0b,Treatment,448,448,0,3,3,0.006696428571428571,477931.95999999996,477931.95999999996,0.0,3417.7619999999997,3417.7619999999997,0.007151147623607344
c31991295ee335c2cdbc6638c2eb7cdccd02f075c054535b46b8048d24a9918c,Treatment,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,
24e97a36f51885a54c77be79cc5614c918133f7eba983eca8db8183c42569091,Control,879,879,0,2,2,0.0022753128555176336,53636.789000000004,53636.789000000004,0.0,61.437,61.437,0.001145426509405699
f51c05240aa1a76c8a3700191f4df67c9275bfacf1fa5a26372bce99f717d23e,Treatment,132,132,0,1,1,0.007575757575757576,67808.068,67808.068,0.0,1097.565,1097.565,0.016186348208593705
492f0f9ca1ae7fd2d613ef9fd185601a969cdac3b12f345ef8ff24be661f4245,Control,161,161,0,3,3,0.018633540372670808,72385.704,72385.704,0.0,750.169,750.169,0.010363496637402325
74313ee3b37a031b824893c9786bd9fb311c35ffad07a0b4a0c885af597b7a40,Treatment,600,600,0,4,4,0.006666666666666667,234527.299,234527.299,0.0,74.661,74.661,0.0003183467354049901
1628b368dbe581988a18d567ac3c1fc0f4f5f6fb5e8394c29c15425ae94b8445,Treatment,106,106,0,2,2,0.018867924528301886,193986.17400000003,193986.17400000003,0.0,92.0,92.0,0.0004742606037479763
fb57994716622ede7b347d3497eea1262dd192fd1a9d36eb8dad343065c61d97,Control,1583,1583,0,5,5,0.003158559696778269,310579.894,310579.894,0.0,389.951,389.951,0.0012555577728415352
2d76016a3683aa4875b740946444b54c2497f9c52c509730605d5a87d7f6f6c9,Treatment,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,
ed05c5cab229f91c57366f7cea46fad9bb48ddf9c8dc6ced69416282ef088c98,Treatment,3449,3449,0,6,6,0.0017396346767178893,184493.84199999998,184493.84199999998,0.0,496.53399999999993,496.53399999999993,0.002691331020143209
